//    EXTERNAL ITEM DATA 
//

//Fields
//pickupsound	STRING; DEFAULT = sound/weapons/w_pkup.wav
//itemname		STRING;
//classname		STRING;
//count			INT;	ammount of ammo or health given with item
//icon			STRING;
//min			VECTOR;	item bounds min, DEFAULT = -16 -16 -2
//max			VECTOR;	item bounds max, DEFAULT = 16 16 16
//pickupname	STRING; name to show in inventory
//tag			ENUM;	WP_, or AMMO_
//type			ENUM;	IT_WEAPON, IT_AMMO, IT_ARMOR, IT_HEALTH
//worldmodel	STRING; model to show on ground or in hand

{
itemname	ITM_SABER_PICKUP

classname	weapon_saber
worldmodel	models/weapons2/saber/saber_w.md3
icon		gfx/hud/w_icon_lightsaber
// Amount of ammo given with weapon
count		50
type		IT_WEAPON
tag		WP_SABER
min		-16 -16 -8
max		16 16 16
}


{
itemname	ITM_BRYAR_PISTOL_PICKUP

classname	weapon_bryar_pistol
worldmodel	models/weapons2/briar_pistol/briar_pistol_w.glm
icon		gfx/hud/w_icon_briar
// Amount of ammo given with weapon
count		10
type		IT_WEAPON
tag		WP_BRYAR_PISTOL
min		-10 -10 -2
max		 10  10 12
}


{
itemname     ITM_BLASTER_PICKUP

classname    weapon_blaster
worldmodel   models/weapons2/blaster_r/blaster_w.glm
icon         gfx/hud/w_icon_blaster
// Amount of ammo given with weapon
count		10
type         IT_WEAPON
tag          WP_BLASTER
min		-10 -10 -2
max		 10  10 12
}

{
itemname	ITM_DISRUPTOR_PICKUP

classname	weapon_disruptor
worldmodel	models/weapons2/disruptor/disruptor_w.glm
icon		gfx/hud/w_icon_disruptor
// Amount of ammo given with weapon
count		50
type		IT_WEAPON
tag		WP_DISRUPTOR
min		-10 -10 -2
max		 10  10 12
}

{
itemname	ITM_BOWCASTER_PICKUP

classname	weapon_bowcaster
worldmodel	models/weapons2/bowcaster/bowcaster_w.glm
icon		gfx/hud/w_icon_bowcaster
// Amount of ammo given with weapon
count		50
type		IT_WEAPON
tag		WP_BOWCASTER
min		-10 -10 -2
max		 10  10 12
}

{
itemname	ITM_REPEATER_PICKUP

classname	weapon_repeater
worldmodel	models/weapons2/heavy_repeater/heavy_repeater_w.glm
icon		gfx/hud/w_icon_repeater
// Amount of ammo given with weapon
count		50
type		IT_WEAPON
tag		WP_REPEATER
min		-10 -10 -2
max		 10  10 12
}

{
itemname	ITM_DEMP2_PICKUP

classname	weapon_demp2
worldmodel	models/weapons2/demp2/demp2_w.glm
icon		gfx/hud/w_icon_demp2
// Amount of ammo given with weapon
count		50
type		IT_WEAPON
tag		WP_DEMP2
min		-10 -10 -2
max		 10  10 12
}
 
  
{
itemname	ITM_FLECHETTE_PICKUP

classname	weapon_flechette
worldmodel	models/weapons2/golan_arms/golan_arms_w.glm
icon		gfx/hud/w_icon_flechette
// Amount of ammo given with weapon
count		50
type		IT_WEAPON
tag		WP_FLECHETTE
min		-10 -10 -2
max		 10  10 12
}


{
itemname	ITM_ROCKET_LAUNCHER_PICKUP

classname	weapon_rocket_launcher
worldmodel	models/weapons2/merr_sonn/merr_sonn_w.glm
icon		gfx/hud/w_icon_merrsonn
// Amount of ammo given with weapon
count		50
type		IT_WEAPON
tag		WP_ROCKET_LAUNCHER
min		-10 -10 -2
max		 10  10 12
}


{
itemname	ITM_THERMAL_DET_PICKUP

classname	weapon_thermal
worldmodel	models/weapons2/thermal/thermal_pu.md3
icon		gfx/hud/w_icon_thermal
// Amount of ammo given with weapon
count		50
type		IT_WEAPON
